likesCount,tweetUrl,action,profileUrl,handle,description,name,rtCount
2,https://twitter.com/Adcash/status/1281162235046486016,liked,https://www.twitter.com/@9jabaz,@9jabaz,CEO https://t.co/MJPk0ZFGJo old account got suspended😫😫,Ceo 9jabaz,
2,https://twitter.com/Adcash/status/1281162235046486016,liked,https://www.twitter.com/@karan04902752,@karan04902752,"Blog owner ""KaranKKA""
Android Games, Reviews, Tips and Tricks, Discussion, Arts And All about Gaming *Check the link out* ⬇️
https://t.co/odINQOyqRr",Karan Agarwal,
2,https://twitter.com/Adcash/status/1276459970351988736,liked,https://www.twitter.com/@umair31,@umair31,"Enterpneour ,Certified Google adword specialist .Pay per click and SEO . Online marketing consultant #positivepakistan #greenpakistan #po",umair ahmed,
2,https://twitter.com/Adcash/status/1276459970351988736,liked,https://www.twitter.com/@batuuhu,@batuuhu,,Batu B.,
1,https://twitter.com/Adcash/status/1275042325559865344,liked,https://www.twitter.com/@9jabaz,@9jabaz,CEO https://t.co/MJPk0ZFGJo old account got suspended😫😫,Ceo 9jabaz,
2,https://twitter.com/Adcash/status/1273578251219341314,liked,https://www.twitter.com/@emanuelcinca,@emanuelcinca,Creator of Stacked Marketer Newsletter https://t.co/pTo1pS4OOE @stackedmarketer | Entrepreneur | #marketing #entrepreneurship,Emanuel Cinca,
2,https://twitter.com/Adcash/status/1273578251219341314,liked,https://www.twitter.com/@PiersMac,@PiersMac,Senior Content Writer @vaimoglobal | Always with a camera in hand and a song in the headphones.,Piers McEwan,
2,https://twitter.com/Adcash/status/1273173806887186437,liked,https://www.twitter.com/@Adcash,@Adcash,A global online advertising powerhouse that’s been rocking the industry since 2007! The core of our business is the Adcash Performance DSP+ and advanced #adtech,Adcash,
2,https://twitter.com/Adcash/status/1273173806887186437,liked,https://www.twitter.com/@IMStorm3,@IMStorm3,,IM Storm,
2,https://twitter.com/lemonadsGroup/status/1273144946762096642,liked,https://www.twitter.com/@Adcash,@Adcash,A global online advertising powerhouse that’s been rocking the industry since 2007! The core of our business is the Adcash Performance DSP+ and advanced #adtech,Adcash,
2,https://twitter.com/lemonadsGroup/status/1273144946762096642,liked,https://www.twitter.com/@IMStorm3,@IMStorm3,,IM Storm,
,https://twitter.com/lemonadsGroup/status/1273144946762096642,RT,https://www.twitter.com/@Adcash,@Adcash,A global online advertising powerhouse that’s been rocking the industry since 2007! The core of our business is the Adcash Performance DSP+ and advanced #adtech,Adcash,1
