likesCount,tweetUrl,action,profileUrl,handle,description,name,rtCount
1,https://twitter.com/boltapp/status/1280462738385494019,liked,https://www.twitter.com/@danoisyboi,@danoisyboi,#Blogger #Comic Freak|| #Biologist #Philosopher #Weirdo #HighlyMisunderstood 🦉,Kweku 🇬🇭🇳🇬,
1,https://twitter.com/boltapp/status/1280109188425945090,liked,https://www.twitter.com/@CabbieOO7,@CabbieOO7,#CabbieOO7 Vlogging my Journey from #PrivateHire Driver to London #Taxi Driver. #TheKnowledge 56’s  / #F1 | Kia eNiro EV journey | YouTube CabbieOO7,CabbieOO7 🇬🇧,
9,https://twitter.com/CabbieOO7/status/1279123687178993665,liked,https://www.twitter.com/@ilz20,@ilz20,Turkish Cypriot | #Atatürk 1881-193∞ | uA Ingiltere | Galatasaray | Arsenal,İlhan,
9,https://twitter.com/CabbieOO7/status/1279123687178993665,liked,https://www.twitter.com/@Tony_Andrews1,@Tony_Andrews1,"When something's wrong say it's wrong, When something's good say it's good. love Boxing, UFC, Martial Arts 🥋 and the Parachute Regiment.",Tony Andrews,
9,https://twitter.com/CabbieOO7/status/1279123687178993665,liked,https://www.twitter.com/@dempoo,@dempoo,"27 Years GB, Still learning, every day's a school day...
White TXe Taxis for your Wedding👰",John Dempsey,
9,https://twitter.com/CabbieOO7/status/1279123687178993665,liked,https://www.twitter.com/@PlexNetflix,@PlexNetflix,Liberal Democrat Europhile South Londoner who's mindset is stuck between London and Paris.  Surname pronounced FIll-p.  Socially isolating since 1979.,Martin Phillp 🔶,
9,https://twitter.com/CabbieOO7/status/1279123687178993665,liked,https://www.twitter.com/@JohnD0956,@JohnD0956,,John 🏴󠁧󠁢󠁥󠁮󠁧󠁿🇬🇧,
9,https://twitter.com/CabbieOO7/status/1279123687178993665,liked,https://www.twitter.com/@Bobby32758396,@Bobby32758396,"Private Hire Driver.
From London living in Surrey.",Itchy Beard,
9,https://twitter.com/CabbieOO7/status/1279123687178993665,liked,https://www.twitter.com/@LisaGre62225635,@LisaGre62225635,,Lisa Green,
9,https://twitter.com/CabbieOO7/status/1279123687178993665,liked,https://www.twitter.com/@William93674222,@William93674222,"I Vow to Thee, My Country 

ÆFLRED MEC HEHT GEWYRCAN",WILLIAM THE MARSHAL .,
,https://twitter.com/CabbieOO7/status/1279123687178993665,RT,https://www.twitter.com/@Tony_Andrews1,@Tony_Andrews1,"When something's wrong say it's wrong, When something's good say it's good. love Boxing, UFC, Martial Arts 🥋 and the Parachute Regiment.",Tony Andrews,3
,https://twitter.com/CabbieOO7/status/1279123687178993665,RT,https://www.twitter.com/@PlexNetflix,@PlexNetflix,Liberal Democrat Europhile South Londoner who's mindset is stuck between London and Paris.  Surname pronounced FIll-p.  Socially isolating since 1979.,Martin Phillp 🔶,3
,https://twitter.com/CabbieOO7/status/1279123687178993665,RT,https://www.twitter.com/@Bobby32758396,@Bobby32758396,"Private Hire Driver.
From London living in Surrey.",Itchy Beard,3
38,https://twitter.com/boltapp/status/1278227578923487232,liked,https://www.twitter.com/@tekkie,@tekkie,CTO at @Savings_Utd. Applying DevOps to solve human problems by code. Contributor & maintainer of various Free and Open Source Software projects.,Ain Tohvri,
38,https://twitter.com/boltapp/status/1278227578923487232,liked,https://www.twitter.com/@pvesterbacka,@pvesterbacka,"Creating gravity. Enabling future growth. Building the Tunnel. 
Former Mighty Eagle at Angry Birds, founder of Slush and MobileMonday, the one with the balls;-)",Peter Vesterbacka,
38,https://twitter.com/boltapp/status/1278227578923487232,liked,https://www.twitter.com/@erikhhhh,@erikhhhh,Lead Data Analyst at @boltapp 🚕🛵🛴🍕🦡,Erik Heintare,
38,https://twitter.com/boltapp/status/1278227578923487232,liked,https://www.twitter.com/@arnocast,@arnocast,🇨🇵🇪🇪 Comms & Policy @skel_tech | Innovation | Technology | International & French politics | Ex - @e_residents @elysee | #theglobalhack,Arnaud Castaignet,
38,https://twitter.com/boltapp/status/1278227578923487232,liked,https://www.twitter.com/@Ca5ually_Allure,@Ca5ually_Allure,💖 is the 🌊,Sheshe,
38,https://twitter.com/boltapp/status/1278227578923487232,liked,https://www.twitter.com/@MrGdval,@MrGdval,Normand délocalisé à Paris pour les affaires 💼 et qui aime les nouvelles technologies 👨🏼‍💻 le vélo 🚲 et l’art 🖼,Monsieur G,
38,https://twitter.com/boltapp/status/1278227578923487232,liked,https://www.twitter.com/@alexg3191,@alexg3191,,Alex,
38,https://twitter.com/boltapp/status/1278227578923487232,liked,https://www.twitter.com/@marekrannala,@marekrannala,#mobility #mobiledata #mobilepositioning @positium,Marek Rannala,
38,https://twitter.com/boltapp/status/1278227578923487232,liked,https://www.twitter.com/@msilventola,@msilventola,"Early stage investor in 50+ companies, based in Singapore @Frontier / First Investor and proud backer @Boltapp @hugoapp_ @cafexapp @eAgronom_com @PayMongo",Mikko Silventola,
38,https://twitter.com/boltapp/status/1278227578923487232,liked,https://www.twitter.com/@EnergySada,@EnergySada,"New mobility, EVs, cities, climate, AQ, SDGs, tech. Prev @IEA @NREL @ITS_UCDavis @ucdavisenergy @UNLEASHlab @mediaLab 🇮🇳🇫🇷🇺🇸. covid19🔜CLIMATE🙏🏾",Sada 薩達 🛺,
38,https://twitter.com/boltapp/status/1278227578923487232,liked,https://www.twitter.com/@heiniryssy,@heiniryssy,"Working, studying, living and breathing #environment & #sustainability. Finding the ways to save the #nature and #future.",Heini Ryssy,
38,https://twitter.com/boltapp/status/1278227578923487232,liked,https://www.twitter.com/@metinaydar,@metinaydar,,Metin Aydar,
38,https://twitter.com/boltapp/status/1278227578923487232,liked,https://www.twitter.com/@AnnMariiii,@AnnMariiii,,Ann-Marii Reiväli,
38,https://twitter.com/boltapp/status/1278227578923487232,liked,https://www.twitter.com/@KreeteMiaMi,@KreeteMiaMi,I may be an adult but I'm really more of an adult cat. Someone probably should take care of me but I can sorta make it on my own.,Kreete Mi∆Mi,
38,https://twitter.com/boltapp/status/1278227578923487232,liked,https://www.twitter.com/@Lelievre_Adrien,@Lelievre_Adrien,"Journaliste @LesEchos || Spécialiste de la mobilité (🚶🛴🚲🛵🚘) || Passionné d'urbanisme, d'histoire et de rock indé || alelievre@lesechos.fr",Adrien Lelièvre,
38,https://twitter.com/boltapp/status/1278227578923487232,liked,https://www.twitter.com/@WellmanAlex,@WellmanAlex,"Yooper / Tallinn, Estonia 🇪🇪 / Head of Marketing @e_residents #eResidency. Opinions are my own.",Alex Wellman 🚡,
38,https://twitter.com/boltapp/status/1278227578923487232,liked,https://www.twitter.com/@ccharmoille,@ccharmoille,Chief Digital Officer @LFPfr @ligue1Conforama @DominosLigue2 // x-@NeoMediaWorld & @ESV_Digital_FR // #Digital #Social #Data #CRM #Innovation ⚽️👊🚲,Christophe Charmoille,
38,https://twitter.com/boltapp/status/1278227578923487232,liked,https://www.twitter.com/@StinneLoo,@StinneLoo,Team MEP @Ansip_EU,Stinne Loo,
38,https://twitter.com/boltapp/status/1278227578923487232,liked,https://www.twitter.com/@DomMoxonTritsch,@DomMoxonTritsch,"Regulation & Public Policy @boltapp Transport policy, #cycling, employment law, #micromobility, #MaaS 📱🛴🚲🚕🇪🇺🇮🇪🇬🇧",Dominick Moxon-Tritsch 🚡,
38,https://twitter.com/boltapp/status/1278227578923487232,liked,https://www.twitter.com/@MiluKIPIMO,@MiluKIPIMO,Business Operations | StartUps | Strategist | Tech | Business Development Expert | Sales Consultant.,Milu KIPIMO,
38,https://twitter.com/boltapp/status/1278227578923487232,liked,https://www.twitter.com/@ivarliiv,@ivarliiv,,Ivar Liiv,
38,https://twitter.com/boltapp/status/1278227578923487232,liked,https://www.twitter.com/@olympegaston,@olympegaston,"De droite, pro européenne, libérale et pro vélo à Paris et partout en France",Olympe,
38,https://twitter.com/boltapp/status/1278227578923487232,liked,https://www.twitter.com/@mobilutopia,@mobilutopia,"journaliste, mobilité, immobilité, transport autonome",✪ Grégoire Hamon ✪,
38,https://twitter.com/boltapp/status/1278227578923487232,liked,https://www.twitter.com/@vnrmrg,@vnrmrg,,vnr,
38,https://twitter.com/boltapp/status/1278227578923487232,liked,https://www.twitter.com/@SKolodziejczyk,@SKolodziejczyk,"Head Of Operations at @blinkeecity
(former @NextbikePolska and https://t.co/bDGVlzOGj2), #sharedmobility, #MaaS, @themarsvolta fan",Seb Ko🛴odziejczyk,
38,https://twitter.com/boltapp/status/1278227578923487232,liked,https://www.twitter.com/@iyanugabe,@iyanugabe,"Doing something exciting at @Boltapp (former Taxify)

kọ ẹkọ nigbagbogbo. Always learning. #DoHardThings. Development. Operations. Growth. Expansion.",ìyànúgabriel,
38,https://twitter.com/boltapp/status/1278227578923487232,liked,https://www.twitter.com/@HeikkiKonttinen,@HeikkiKonttinen,"Minä en valita, valistan ja vaikutan. Historian ja turhan yleistiedon mestari.
#insta@esek_o #rakentajaalwaysforever
18v🚶18v♿
Tieto on voimavara.",Heikki Konttinen,
38,https://twitter.com/boltapp/status/1278227578923487232,liked,https://www.twitter.com/@aklesgame,@aklesgame,,Aklesgame,
38,https://twitter.com/boltapp/status/1278227578923487232,liked,https://www.twitter.com/@leitner_stephan,@leitner_stephan,,Stephan Leitner,
38,https://twitter.com/boltapp/status/1278227578923487232,liked,https://www.twitter.com/@SandraS2rav,@SandraS2rav,Public Policy⚡@BoltApp / Lecturer of EU law & legal tech @TallinnTech 🇪🇪. An @e_estonia-n in perpetuum. I tweet what I like,Sandra Särav,
38,https://twitter.com/boltapp/status/1278227578923487232,liked,https://www.twitter.com/@AntoineClairet,@AntoineClairet,Life long learner. Data driven and new tech advocate. Global Sales at @Gryticsforwork 🚀 Analytics for @workplacefromFB @Yammer and @MicrosoftTeams,Antoine Clairet,
38,https://twitter.com/boltapp/status/1278227578923487232,liked,https://www.twitter.com/@ajaotimi,@ajaotimi,|Media and Communications| |Full time Digital Marketer| LinkedIn: https://t.co/0AoSw39BYg,Gbenga Ajao,
38,https://twitter.com/boltapp/status/1278227578923487232,liked,https://www.twitter.com/@andreea_hd,@andreea_hd,"🌎Tech Recruitment Consultant @HumanDirectEU
Contact me if you need a partner in recruiting IT staff in #Europe /#Remote
We can help you expand/create your team",🚀Andreea Măjeri-helping companies to create teams,
38,https://twitter.com/boltapp/status/1278227578923487232,liked,https://www.twitter.com/@dorfman_baruch,@dorfman_baruch,"I develop AviAl e-Bikes which built like an Aeroplane 🛩. #Follow me who is interesting of #eBikes innovations, #bicycles news and #design of #electric #bikes.",🚴 Baruch Dorfman,
38,https://twitter.com/boltapp/status/1278227578923487232,liked,https://www.twitter.com/@Bobby28696448,@Bobby28696448,,Bobby,
38,https://twitter.com/boltapp/status/1278227578923487232,liked,https://www.twitter.com/@ViljarLubi,@ViljarLubi,Making Estonia a prosperous innovative country. Business Development Secretary. Ministry of Economy,Viljar Lubi,
,https://twitter.com/boltapp/status/1278227578923487232,RT,https://www.twitter.com/@pvesterbacka,@pvesterbacka,"Creating gravity. Enabling future growth. Building the Tunnel. 
Former Mighty Eagle at Angry Birds, founder of Slush and MobileMonday, the one with the balls;-)",Peter Vesterbacka,0
,https://twitter.com/boltapp/status/1278227578923487232,RT,https://www.twitter.com/@heiniryssy,@heiniryssy,"Working, studying, living and breathing #environment & #sustainability. Finding the ways to save the #nature and #future.",Heini Ryssy,0
,https://twitter.com/boltapp/status/1278227578923487232,RT,https://www.twitter.com/@VictoriosV,@VictoriosV,"...Born free to reign.
#My survival is not determined by market forces. I tap into God's ever stable, all sufficient, never ending resources...Amen. #GraceLife!",Victorious Vic,0
,https://twitter.com/boltapp/status/1278227578923487232,RT,https://www.twitter.com/@startupestonia,@startupestonia,Everything about the startup scene and starting up in Estonia. Supercharging the Estonian startup ecosystem for global success. #startupestonia,Startup Estonia,0
,https://twitter.com/boltapp/status/1278227578923487232,RT,https://www.twitter.com/@DomMoxonTritsch,@DomMoxonTritsch,"Regulation & Public Policy @boltapp Transport policy, #cycling, employment law, #micromobility, #MaaS 📱🛴🚲🚕🇪🇺🇮🇪🇬🇧",Dominick Moxon-Tritsch 🚡,0
,https://twitter.com/boltapp/status/1278227578923487232,RT,https://www.twitter.com/@prepaid_economy,@prepaid_economy,"Design Planning for the Informal Economy (inc. IoT for prepaid mobile) 

Hand curated by Niti Bhan. 

PhD candidate @AaltoDF Finland.",The Prepaid Economy,0
,https://twitter.com/boltapp/status/1278227578923487232,RT,https://www.twitter.com/@MiluKIPIMO,@MiluKIPIMO,Business Operations | StartUps | Strategist | Tech | Business Development Expert | Sales Consultant.,Milu KIPIMO,0
,https://twitter.com/boltapp/status/1278227578923487232,RT,https://www.twitter.com/@diego_lecasble,@diego_lecasble,"Micro Mobility entrepreneur / Design & innovation student @webschoolfactory 
100% human (for now) 
UI / UX",Diego Lecasble,0
,https://twitter.com/boltapp/status/1278227578923487232,RT,https://www.twitter.com/@vnrmrg,@vnrmrg,,vnr,0
,https://twitter.com/boltapp/status/1278227578923487232,RT,https://www.twitter.com/@SandraS2rav,@SandraS2rav,Public Policy⚡@BoltApp / Lecturer of EU law & legal tech @TallinnTech 🇪🇪. An @e_estonia-n in perpetuum. I tweet what I like,Sandra Särav,0
,https://twitter.com/boltapp/status/1278227578923487232,RT,https://www.twitter.com/@ClaireKraatz,@ClaireKraatz,"Alberta girl and CEO of the Kraatz Family Enterprise. Mom, wife, educator. Passionate about people and our beautiful planet. 🌎",Claire Kraatz,0
,https://twitter.com/Craigrodney/status/1276904427786559490,RT,https://www.twitter.com/@jockneycab,@jockneycab,London Cabbie,jockney,0
,https://twitter.com/Craigrodney/status/1276904427786559490,RT,https://www.twitter.com/@Will_E10,@Will_E10,,William,0
31,https://twitter.com/boltapp/status/1265283922205777921,liked,https://www.twitter.com/@veljo,@veljo,"Managing Partner at @Superangel10x; 
Co-founder of @Fortumo, Mobi; 
Investor at @Boltapp, @Veriff, @Monese etc.
Helping startups via https://t.co/aiKn53ivm0 program.",Veljo Otsason,
31,https://twitter.com/boltapp/status/1265283922205777921,liked,https://www.twitter.com/@raimomatvere,@raimomatvere,Head of partnerships @e_Residents, @worldcleanupday volunteer and enthusiast.,raimomatvere
31,https://twitter.com/boltapp/status/1265283922205777921,liked,https://www.twitter.com/@triinmahlakoiv,@triinmahlakoiv,I solve AI talent shortage @NorthStarAIconf & cybersecurity skill gap @RangeForce | Enthusiastic about #data #AI #analytics  #running #tea #reading,Triin Mahlakõiv,
31,https://twitter.com/boltapp/status/1265283922205777921,liked,https://www.twitter.com/@rainsepp,@rainsepp,I'm passionate about fintech for inclusion and financial education. CEO at @Robin_Academia https://t.co/xLuNBMibJr,Rain Sepp,
31,https://twitter.com/boltapp/status/1265283922205777921,liked,https://www.twitter.com/@Dreisenstock,@Dreisenstock,,Dreisenstock,
31,https://twitter.com/boltapp/status/1265283922205777921,liked,https://www.twitter.com/@trssgb,@trssgb,,Taras,
31,https://twitter.com/boltapp/status/1265283922205777921,liked,https://www.twitter.com/@A_Aliyu_,@A_Aliyu_,"✴✴🔃🔁✴✴
🤓",Aliyu Abdulrahman🌍🔽🔼™,
31,https://twitter.com/boltapp/status/1265283922205777921,liked,https://www.twitter.com/@alexg3191,@alexg3191,,Alex,
31,https://twitter.com/boltapp/status/1265283922205777921,liked,https://www.twitter.com/@msilventola,@msilventola,"Early stage investor in 50+ companies, based in Singapore @Frontier / First Investor and proud backer @Boltapp @hugoapp_ @cafexapp @eAgronom_com @PayMongo",Mikko Silventola,
31,https://twitter.com/boltapp/status/1265283922205777921,liked,https://www.twitter.com/@mihkeluus,@mihkeluus,,Mihkel Uus,
31,https://twitter.com/boltapp/status/1265283922205777921,liked,https://www.twitter.com/@Caller_jr,@Caller_jr,Events manager / Talent Manager / Consultant,KLM,
31,https://twitter.com/boltapp/status/1265283922205777921,liked,https://www.twitter.com/@beautygracedlfs,@beautygracedlfs,"Manda todo al carajo y empieza de nuevo cada vez que sea necesario, reinventate.
lifeonce, happy moments, smile, night, love, myself, travel, moon...",Grace De Las Fuentes,
31,https://twitter.com/boltapp/status/1265283922205777921,liked,https://www.twitter.com/@UrsBolt,@UrsBolt,@ti8m_ag | PMP® | #DigitalBanking #FinTech #WealthTech #WealthManagement #OpenBanking #OpenFinance #Ecosystems | @FintechRockers Member | @Phonak Ambassador,Urs Bolt 🇨🇭,
31,https://twitter.com/boltapp/status/1265283922205777921,liked,https://www.twitter.com/@Autolevi,@Autolevi,"Autolevi #carsharing 🚙🌿 Rent great cars from people nearby!
Estonia, Finland & Latvia🇪🇪 🇫🇮 🇱🇻
#autolevi",Autolevi,
31,https://twitter.com/boltapp/status/1265283922205777921,liked,https://www.twitter.com/@Genaro_Cor,@Genaro_Cor,Founder- CEO Oasis Financiero,Genaro Corona,
31,https://twitter.com/boltapp/status/1265283922205777921,liked,https://www.twitter.com/@Ubiqai,@Ubiqai,"Making #SharedMobility profitable: Ubiq provides actionable insights and tools for operational excellence 🚗 🛴 🛵 🚲
#MaaS #FreeFloating #AI",Ubiq.ai,
31,https://twitter.com/boltapp/status/1265283922205777921,liked,https://www.twitter.com/@Toochuk89208949,@Toochuk89208949,Easygoing but principled,Paul Zeph,
31,https://twitter.com/boltapp/status/1265283922205777921,liked,https://www.twitter.com/@iamaidaaman,@iamaidaaman,,Aida Aman,
31,https://twitter.com/boltapp/status/1265283922205777921,liked,https://www.twitter.com/@iyanugabe,@iyanugabe,"Doing something exciting at @Boltapp (former Taxify)

kọ ẹkọ nigbagbogbo. Always learning. #DoHardThings. Development. Operations. Growth. Expansion.",ìyànúgabriel,
31,https://twitter.com/boltapp/status/1265283922205777921,liked,https://www.twitter.com/@DavidNw83109211,@DavidNw83109211,Very peaceful person,David Nwankwo,
31,https://twitter.com/boltapp/status/1265283922205777921,liked,https://www.twitter.com/@LauraStoskute,@LauraStoskute,Senior Writer for CleanTech News @OurCTNews . Co-Author of the @LegalTECHBook.,Laura Stoskute,
31,https://twitter.com/boltapp/status/1265283922205777921,liked,https://www.twitter.com/@aklesgame,@aklesgame,,Aklesgame,
31,https://twitter.com/boltapp/status/1265283922205777921,liked,https://www.twitter.com/@SandraS2rav,@SandraS2rav,Public Policy⚡@BoltApp / Lecturer of EU law & legal tech @TallinnTech 🇪🇪. An @e_estonia-n in perpetuum. I tweet what I like,Sandra Särav,
31,https://twitter.com/boltapp/status/1265283922205777921,liked,https://www.twitter.com/@NiitJane,@NiitJane,,Jane Niit,
31,https://twitter.com/boltapp/status/1265283922205777921,liked,https://www.twitter.com/@HillaryEtidian2,@HillaryEtidian2,Having fun,Hillary Etidianughe,
31,https://twitter.com/boltapp/status/1265283922205777921,liked,https://www.twitter.com/@MobilneMiasto,@MobilneMiasto,Stowarzyszenie dla rozwoju nowoczesnej i współdzielonej mobilności / Association for developing new & shared mobility,Mobilne Miasto,
31,https://twitter.com/boltapp/status/1265283922205777921,liked,https://www.twitter.com/@theavaz,@theavaz,📶🎮🎧⚽️,ΛVΛZ,
,https://twitter.com/boltapp/status/1265283922205777921,RT,https://www.twitter.com/@Hannahsumma,@Hannahsumma,,Hannah,0
,https://twitter.com/boltapp/status/1265283922205777921,RT,https://www.twitter.com/@Caller_jr,@Caller_jr,Events manager / Talent Manager / Consultant,KLM,0
,https://twitter.com/boltapp/status/1265283922205777921,RT,https://www.twitter.com/@Genaro_Cor,@Genaro_Cor,Founder- CEO Oasis Financiero,Genaro Corona,0
,https://twitter.com/boltapp/status/1265283922205777921,RT,https://www.twitter.com/@hcapoul,@hcapoul,"GM France @boltapp, the leading EU #mobility platform ⚡️| Ex-@McKinsey | Forbes #30Under30 🇫🇷",Henri Capoul,0
,https://twitter.com/boltapp/status/1265283922205777921,RT,https://www.twitter.com/@NiitJane,@NiitJane,,Jane Niit,0
,https://twitter.com/boltapp/status/1265283922205777921,RT,https://www.twitter.com/@HillaryEtidian2,@HillaryEtidian2,Having fun,Hillary Etidianughe,0
,https://twitter.com/boltapp/status/1265283922205777921,RT,https://www.twitter.com/@theavaz,@theavaz,📶🎮🎧⚽️,ΛVΛZ,0
2,https://twitter.com/boltapp/status/1278672466781655040,liked,https://www.twitter.com/@CNkwopara,@CNkwopara,,chigozie nkwopara,
2,https://twitter.com/boltapp/status/1278672466781655040,liked,https://www.twitter.com/@karimraffa,@karimraffa,"Director of Strategy & Ventures      |      
Show-Host @ BTCN Asia",Karim RAFFA,
