likesCount,tweetUrl,action,profileUrl,handle,description,name,rtCount
2,https://twitter.com/postimees/status/1282000118359654401,liked,https://www.twitter.com/@argohunt001,@argohunt001,,Argo Hunt,
2,https://twitter.com/postimees/status/1282000118359654401,liked,https://www.twitter.com/@ESTJPNproject,@ESTJPNproject,"「よく分からないけど北欧？」―日本ではこう言われることが多いエストニア。

そんなエストニアと日本の間に様々な交流のエピソードがあったのをご存じですか？

当プロジェクトは、エストニア共和国外務省並びに在エストニア日本国大使館の公認で、2021年12月までに日エ関係史の200年をまとめた本を出版します！",【クラファン延長中！】🇯🇵🇪🇪「日本・エストニア関係史の200年」Bookプロジェクト📖,
2,https://twitter.com/postimees/status/1281941017369993217,liked,https://www.twitter.com/@argohunt001,@argohunt001,,Argo Hunt,
2,https://twitter.com/postimees/status/1281941017369993217,liked,https://www.twitter.com/@Parem_Lobjakas,@Parem_Lobjakas,Tavaline natsi- kommu- ja kõige-muu-totalitaarse-foob.,Madis Lobjakas,
,https://twitter.com/postimees/status/1281926524048990209,RT,https://www.twitter.com/@touhoufucker,@touhoufucker,investor,fresh,1
1,https://twitter.com/postimees/status/1281886697794547714,liked,https://www.twitter.com/@argohunt001,@argohunt001,,Argo Hunt,
1,https://twitter.com/postimees/status/1281605378933960712,liked,https://www.twitter.com/@argohunt001,@argohunt001,,Argo Hunt,
1,https://twitter.com/postimees/status/1281118390334230529,liked,https://www.twitter.com/@Liisa18187968,@Liisa18187968,"Estonia🇪🇪
2002
Do what you love, love what you do❤️",Liisa,
1,https://twitter.com/postimees/status/1280925079405289480,liked,https://www.twitter.com/@argohunt001,@argohunt001,,Argo Hunt,
1,https://twitter.com/postimees/status/1280906814318665729,liked,https://www.twitter.com/@sotsdem,@sotsdem,Sotsiaaldemokraatlik Erakond,Sotsiaaldemokraadid,
2,https://twitter.com/postimees/status/1280893135590240256,liked,https://www.twitter.com/@matrunich,@matrunich,"Data scientist, #floss believer, skydiver",Alexander Matrunich,
2,https://twitter.com/postimees/status/1280893135590240256,liked,https://www.twitter.com/@argohunt001,@argohunt001,,Argo Hunt,
1,https://twitter.com/postimees/status/1280874732007587842,liked,https://www.twitter.com/@Estonian01,@Estonian01,,Maiu Eesti,
1,https://twitter.com/postimees/status/1280868213065232387,liked,https://www.twitter.com/@Heix86093422,@Heix86093422,,Heix,
1,https://twitter.com/postimees/status/1280810831685586946,liked,https://www.twitter.com/@FlixBus_PL,@FlixBus_PL,"Wiodący w Polsce i Europie operator międzymiastowych połączeń autobusowych, który od 2013 roku zmienia styl podróżowania milionów ludzi 🚎👫☀️",FlixBus_PL,
1,https://twitter.com/postimees/status/1280772313391288326,liked,https://www.twitter.com/@AveKarja,@AveKarja,,Ave Karja,
1,https://twitter.com/postimees/status/1280546807869734913,liked,https://www.twitter.com/@GrandelaNelson,@GrandelaNelson,"Vapaaherra, retired person. Streetman`s Estimates about aviation & security policy. Suomen ilmapuolustusmiljardien käytön kriittisen tarkastelun näkökulma.",Kadunmiehen Arvio,
1,https://twitter.com/postimees/status/1280543594462556162,liked,https://www.twitter.com/@argohunt001,@argohunt001,,Argo Hunt,
1,https://twitter.com/postimees/status/1280540445861437440,liked,https://www.twitter.com/@kalev1990,@kalev1990,PhD Candidate in History (researcher of Finnish nationalism) and publicist,Denis Kovaliov,
,https://twitter.com/postimees/status/1280540445861437440,RT,https://www.twitter.com/@est_victory,@est_victory,,Viktor,1
