likesCount,tweetUrl,action,rtCount
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
0,,liked,
,,RT,0
