likesCount,tweetUrl,action,profileUrl,handle,description,name,rtCount,,,
5,https://twitter.com/TallinnTech/status/1280063564997410822,liked,https://www.twitter.com/@suryathephenom,@suryathephenom,,SuryA RaghavendraN m,,,,
5,https://twitter.com/TallinnTech/status/1280063564997410822,liked,https://www.twitter.com/@jesset0m,@jesset0m,"Amateur writer,thinker and romantic |Nigerian Nationalist and think-tank |Self acclaimed intellectual | Engineer| Troll",overunderrated👑🇳🇬,,,,
5,https://twitter.com/TallinnTech/status/1280063564997410822,liked,https://www.twitter.com/@TallinnAV2020,@TallinnAV2020,"Future of Autonomous Transport in Baltic Sea Region conference for the cities, sustainable mobility industry and policymakers in Tallinn, Estonia Aug 27, 2020.",Future of Autonomous Transport 2020,,,,
5,https://twitter.com/TallinnTech/status/1280063564997410822,liked,https://www.twitter.com/@DreamApply,@DreamApply,Student Recruitment & Admissions Management System for #HigherEducation,DreamApply,,,,
5,https://twitter.com/TallinnTech/status/1280063564997410822,liked,https://www.twitter.com/@tonystam_en,@tonystam_en,"Involved in digital transformation. 
Google Cloud Partners. https://t.co/0SwdRyQjTf",Tonystam,,,,
,https://twitter.com/TallinnTech/status/1280063564997410822,RT,https://www.twitter.com/@researchestonia,@researchestonia,Research in Estonia offers information and news about Estonia as an attractive research destination and cooperation partner.,Research in Estonia,0,,,
1,https://twitter.com/TallinnTech/status/1278254853417041929,liked,https://www.twitter.com/@BalticEconomic,@BalticEconomic,,Baltic Economic Association,,,,
1,https://twitter.com/TallinnTech/status/1277529561052459008,liked,https://www.twitter.com/@abuhojochonu,@abuhojochonu,,Abuh Ojochonu,,,,
2,https://twitter.com/TallinnTech/status/1273238841776910347,liked,https://www.twitter.com/@suryathephenom,@suryathephenom,,SuryA RaghavendraN m,,,,
2,https://twitter.com/TallinnTech/status/1273238841776910347,liked,https://www.twitter.com/@DreamApply,@DreamApply,Student Recruitment & Admissions Management System for #HigherEducation,DreamApply,,,,
