likesCount,tweetUrl,action,profileUrl,handle,description,name,rtCount,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@127khz,@127khz,"‏‏‏סמולן. עומו. תל הביבי. يهودي. טיל פטריוט ציוני. חמוצה. אבאלה.
🏳️‍🌈🇮🇱⬅️👌📣🗿💉🏝🌦",עוד לא,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@Jubi_leee,@Jubi_leee,This world never ceases to amaze me.,Yuval Amiram,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@chenmika,@chenmika,,Ken Mika,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@rastot,@rastot,"It is said, Percy, that civilised man seeks out good and intelligent company, so that through learned discourse he may rise above the savage and closer to God.",Shoo’al,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@erezjane,@erezjane,"Anthropologist, Lecturer, interested in new and old media, addicted to audio books …....",Erez Cohen,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@amitshofar,@amitshofar,,Amit Shofar,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@assafrl,@assafrl,ראש העיר הבא,Assaf Harel  |  אסף הראל,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@GiladEvenSapir,@GiladEvenSapir,,Gilad Even Sapir,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@orlybanami,@orlybanami,,orly ben-ami,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@IluzG,@IluzG,,g.iluz,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@naglistal,@naglistal,fascinated from humankind stupidity.,Tal Naglis,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@alon_harel,@alon_harel,,Alon Har-El,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@MayaZivWolf,@MayaZivWolf,"T.V Host @Reshettv
מיה זיו-וולף",Maya Ziv-Wolf,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@goodovtwiit,@goodovtwiit,Smile,B@tweet,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@mina10uk,@mina10uk,,goliat,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@HannaMarder,@HannaMarder,,hanna marder,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@eranc123,@eranc123,,Eran Cohen,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@DGuerman,@DGuerman,CS student. Long distance runner. RICERCAR. 🧔🏻,David German,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@Elooljacoby,@Elooljacoby,I,Elool Jacoby,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@noa80175971,@noa80175971,,noa,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@tsahi17,@tsahi17,"הייטקיסט, אבא, מעורב פוליטית.",tsahi🇮🇱,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@liti_gilad,@liti_gilad,"אם החיים נותנים לך לימונים, באמאש'ך, רק אל תעשה מהם וופלים",Liti Gilad,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@oren13734067,@oren13734067,,oren,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@adin_dan,@adin_dan,"עו״ד בתחום הקניין הרוחני, אבא ל-3, פעיל מטעם עצמו נגד שחיתות ולמען שיוויון",Dan Adin דן עדין,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@ze_left,@ze_left,,זהשמאל 🏴,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@Noa_reg,@Noa_reg,,נועה,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@_PeaceOutPeace,@_PeaceOutPeace,,Noname,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@sharon21272267,@sharon21272267,,sharon 🏴,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@picopic20650034,@picopic20650034,,picopico,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@avibens1,@avibens1,,Avi,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@Miv9xbn8WMSaDme,@Miv9xbn8WMSaDme,"‏ימני , עוקצני.....מזהה מטומטמים מקילומטר.",שמוליקיפוד,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@Talpadan1,@Talpadan1,,Talpadan,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@YarivTi,@YarivTi,,יריב,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@itsika74,@itsika74,רוק קלאסי מוזיקה כושר,Itsik,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@somecherez,@somecherez,"‏‏‏https://t.co/6cyYVTAaSS‎‎‎
                           
            
        לא באתי לריב, ואם אני טועה אני גם יודע להתנצל.",Somech Erez,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@Ysk94jph04jOEYS,@Ysk94jph04jOEYS,,יעל,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@Amar1Falcon9,@Amar1Falcon9,"‏‏Need to share insights🐼

‏‏צריך לשתף תובנות
based in netanya 🇮🇱",More2020,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@MSeQYOtRQZz6iEj,@MSeQYOtRQZz6iEj,,נורית שפירא 🏴,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@MottesNeill,@MottesNeill,ישראלי אמריקאי. תחבורה ציבורית איכות הסביבה ופוליטיקה ישראלית ועולמית,Neill Mottes,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@RgkDDMKfknJYaqY,@RgkDDMKfknJYaqY,cogito ergo sum,גרינברגר מלכה,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@Tamar36847704,@Tamar36847704,,Tamar,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@noga22786319,@noga22786319,,noga,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@17Yosael,@17Yosael,,Yosael 17,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@Ilanadahan1,@Ilanadahan1,,Ilanadahan,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@AdirMaimon,@AdirMaimon,Live and let live,Adir maimon,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@Axeleratar,@Axeleratar,,Alexander,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@KaroHaim,@KaroHaim,,HAIM KARO,,,,,
73,https://twitter.com/Ron_Huldai/status/1242783507438612485,liked,https://www.twitter.com/@KnoockWood,@KnoockWood,fluent in memes.,זמני וגם זה זמני,,,,,
"1,4 k",https://twitter.com/Ron_Huldai/status/1240546389978947586,liked,https://www.twitter.com/@ohadme,@ohadme,,ohadme,,,,,
"1,4 k",https://twitter.com/Ron_Huldai/status/1240546389978947586,liked,https://www.twitter.com/@siv231,@siv231,,Sivan Shmuelovich,,,,,
"1,4 k",https://twitter.com/Ron_Huldai/status/1240546389978947586,liked,https://www.twitter.com/@MosheHF,@MosheHF,,Moshe Friedman,,,,,
"1,4 k",https://twitter.com/Ron_Huldai/status/1240546389978947586,liked,https://www.twitter.com/@ayeletreiter,@ayeletreiter,,Ayelet Reiter,,,,,
"1,4 k",https://twitter.com/Ron_Huldai/status/1240546389978947586,liked,https://www.twitter.com/@geshem83,@geshem83,"RT/Fav ≠ endorsement/agreement; Content represents my own views, not those of any of my past, present or future employers.",Ben G.,,,,,
"1,4 k",https://twitter.com/Ron_Huldai/status/1240546389978947586,liked,https://www.twitter.com/@Tami131168,@Tami131168,Supercallifragilisticexpialidocious!,Tami Chotoveli,,,,,
"1,4 k",https://twitter.com/Ron_Huldai/status/1240546389978947586,liked,https://www.twitter.com/@simon_nn,@simon_nn,"Just another person, father and high tech employee",Simon,,,,,
"1,4 k",https://twitter.com/Ron_Huldai/status/1240546389978947586,liked,https://www.twitter.com/@isorek,@isorek,"מרצה לפילוסופיה ומנהל תוכניות בקרן מנדל למנהיגות, מרכז מנדל למנהיגות בנגב
‏עורך כתב העת הד החינוך",Israel Sorek,,,,,
"1,4 k",https://twitter.com/Ron_Huldai/status/1240546389978947586,liked,https://www.twitter.com/@avineer,@avineer,,Avi Neer,,,,,
"1,4 k",https://twitter.com/Ron_Huldai/status/1240546389978947586,liked,https://www.twitter.com/@HKalish,@HKalish,,Hadas Kalish,,,,,
"1,4 k",https://twitter.com/Ron_Huldai/status/1240546389978947586,liked,https://www.twitter.com/@orwa_younis,@orwa_younis,"Flight Attendant & pilot to be👨🏻‍✈️, Media & movie industry TAU /  iOS developer .... Global citizen ✈ ..Liberal&Secular 🏳️‍🌈 ✌Snapchat : orwayounis17",Orwa Younis ✌️,,,,,
"1,4 k",https://twitter.com/Ron_Huldai/status/1240546389978947586,liked,https://www.twitter.com/@swedishkeren,@swedishkeren,אף פעם לא הבטחתי לך גן של סביונים לעשות עליהם פו,SwedishKeren,,,,,
"1,4 k",https://twitter.com/Ron_Huldai/status/1240546389978947586,liked,https://www.twitter.com/@maayan308,@maayan308,,maayan ben-zion,,,,,
"1,4 k",https://twitter.com/Ron_Huldai/status/1240546389978947586,liked,https://www.twitter.com/@MiriNevo,@MiriNevo,"Senior sports news anchorwoman at @sport5il, sports broadcaster, love the olympics, skipper and a mom
Instagram - @mirinevo
Represent by @yitzug_1
 ",miri nevo,,,,,
"1,4 k",https://twitter.com/Ron_Huldai/status/1240546389978947586,liked,https://www.twitter.com/@OfraShefi,@OfraShefi,,ofra drorit sherefkin,,,,,
"1,4 k",https://twitter.com/Ron_Huldai/status/1240546389978947586,liked,https://www.twitter.com/@AdiWalzer,@AdiWalzer,,adi walzer,,,,,
"1,4 k",https://twitter.com/Ron_Huldai/status/1240546389978947586,liked,https://www.twitter.com/@Garlicressurect,@Garlicressurect,,Garlic,,,,,
"1,4 k",https://twitter.com/Ron_Huldai/status/1240546389978947586,liked,https://www.twitter.com/@mosheshmuel,@mosheshmuel,,Mose ⁦🏴,,,,,
"1,4 k",https://twitter.com/Ron_Huldai/status/1240546389978947586,liked,https://www.twitter.com/@ilya_yer,@ilya_yer,"לשעבר סגן מנהל דסק הדיגיטל של @kann_news. כדורגל, פוליטיקה, היסטוריה, אוכל טוב וכוהל משובח. כמיטב מסורת הכסת""ח, מצייץ על דעתי בלבד",Ilya Yeruhimovich,,,,,
"1,4 k",https://twitter.com/Ron_Huldai/status/1240546389978947586,liked,https://www.twitter.com/@birkmanit,@birkmanit,"כרגע, אזרחית מוטרדת",Birkmanit שרון בירקמן,,,,,
"1,4 k",https://twitter.com/Ron_Huldai/status/1240546389978947586,liked,https://www.twitter.com/@OrrIzko,@OrrIzko,,izko,,,,,
"1,4 k",https://twitter.com/Ron_Huldai/status/1240546389978947586,liked,https://www.twitter.com/@BrandZippi,@BrandZippi,סגנית ראש עיריית תל אביב יפו. ממונה על החינוך לגילאי לידה עד שש ועל קהילת המשפחות הצעירות. במקצועה יוצרת דוקומנטרית ובמאית בינ״ל זוכת פרס האמי.,ציפי ברנד,,,,,
