likesCount,tweetUrl,action,profileUrl,handle,description,name,rtCount,,,,,,,
2,https://twitter.com/TelAvivUni/status/1245389429444882437,liked,https://www.twitter.com/@jakinmaies,@jakinmaies,"Especialista en Salud Publica Y Desastres ,Cadete Diplomatico# en el ministerio de relaciones exteriores de @Israel",Jakin Mandelblum,,,,,,,,
5,https://twitter.com/azrielb/status/1245378026919145473,liked,https://www.twitter.com/@andyberan,@andyberan,Small Business Owner. Entrepreneur. Member Pro-Israel Community.,Andy,,,,,,,,
5,https://twitter.com/azrielb/status/1245378026919145473,liked,https://www.twitter.com/@emmanuelnavon,@emmanuelnavon,#InternationalRelations Lecturer @TelAvivUni & @IDCherzliya | Fellow @jiss_israel & @KoheletForum | Analyst @I24News | Author of #TheStarAndTheScepter,Emmanuel Navon עמנואל נבון,,,,,,,,
5,https://twitter.com/azrielb/status/1245378026919145473,liked,https://www.twitter.com/@TelAvivUni,@TelAvivUni,"Leading research university in #Israel and the world. World's 8ᵗʰ in graduate #Startups, top 100 #Innovation. Be Part of the Next Big Idea.",Tel Aviv University,,,,,,,,
5,https://twitter.com/azrielb/status/1245378026919145473,liked,https://www.twitter.com/@Giulia1958,@Giulia1958,"nonna, politica ma non partitica, filosofa. Amo Bach e Beethoven, Cimabue e Caravaggio.",Giulia giullare,,,,,,,,
5,https://twitter.com/azrielb/status/1245378026919145473,liked,https://www.twitter.com/@ma_koEISS,@ma_koEISS,"Writer & Consultant, occasionally Philosopher. Former swiss military professional, @ETH alumni. Tweets in different tongues, retweets don't mean a thing!",marko weiss 🦉,,,,,,,,
1,https://twitter.com/TelAvivUni/status/1245366363885047808,liked,https://www.twitter.com/@AFTAU,@AFTAU,"Dynamic and daring, TAU represents Israel at its best. 
AMERICAN FRIENDS pursue the advancement of Tel Aviv University in the United States.",TelAvivUniversityUSA,,,,,,,,
3,https://twitter.com/TelAvivUni/status/1245310786333016064,liked,https://www.twitter.com/@arikring,@arikring,"Arik Ring MSc, Expert Consultant. #Solar & #Cleantech Innovation, #Energy Efficiency, Heat & Power, HVAC, Turbomachinery.
Energy Solutions for the 21st Century",Arik Ring - Energy Engineering Expert,,,,,,,,
3,https://twitter.com/TelAvivUni/status/1245310786333016064,liked,https://www.twitter.com/@AFTAU,@AFTAU,"Dynamic and daring, TAU represents Israel at its best. 
AMERICAN FRIENDS pursue the advancement of Tel Aviv University in the United States.",TelAvivUniversityUSA,,,,,,,,
3,https://twitter.com/TelAvivUni/status/1245310786333016064,liked,https://www.twitter.com/@jakinmaies,@jakinmaies,"Especialista en Salud Publica Y Desastres ,Cadete Diplomatico# en el ministerio de relaciones exteriores de @Israel",Jakin Mandelblum,,,,,,,,
3,https://twitter.com/TelAvivUni/status/1245309629850148864,liked,https://www.twitter.com/@Rafinike,@Rafinike,,Rafael Ben-Menashe,,,,,,,,
3,https://twitter.com/TelAvivUni/status/1245309629850148864,liked,https://www.twitter.com/@jakinmaies,@jakinmaies,"Especialista en Salud Publica Y Desastres ,Cadete Diplomatico# en el ministerio de relaciones exteriores de @Israel",Jakin Mandelblum,,,,,,,,
3,https://twitter.com/TelAvivUni/status/1245309629850148864,liked,https://www.twitter.com/@ClariceDAiello,@ClariceDAiello,"Quantum engineer interested in how quantum physics informs bio. Fearlessly leading the Quantum Biology Tech Lab @QuBiT_UCLA. 
All sums up to awareness+learning.","Clarice D. Aiello (she,her)",,,,,,,,
5,https://twitter.com/TelAvivUni/status/1245264671050997760,liked,https://www.twitter.com/@emanuellguimel,@emanuellguimel,"Se o melhor da viagem é a paisagem, melhor ficar na janela",Emanuel Guímel,,,,,,,,
5,https://twitter.com/TelAvivUni/status/1245264671050997760,liked,https://www.twitter.com/@AFTAU,@AFTAU,"Dynamic and daring, TAU represents Israel at its best. 
AMERICAN FRIENDS pursue the advancement of Tel Aviv University in the United States.",TelAvivUniversityUSA,,,,,,,,
5,https://twitter.com/TelAvivUni/status/1245264671050997760,liked,https://www.twitter.com/@yuval_sapir,@yuval_sapir,"Botanist, evolutionary ecologist, and director of Tel Aviv U botanical garden",Yuval Sapir,,,,,,,,
5,https://twitter.com/TelAvivUni/status/1245264671050997760,liked,https://www.twitter.com/@Yaakov_M_Liu,@Yaakov_M_Liu,🔯🕉🙏💟🏳️‍🌈🦄 Neurologist+Psychiatrist│ Interested in Quantum Computing & BCI│Converting to Neo-Hassidic Conservative Judaism│Keeping Nusach Parsi│漢語/日本語/Esp,Yaakov Mikhael Liu,,,,,,,,
,https://twitter.com/TelAvivUni/status/1245264671050997760,RT,https://www.twitter.com/@SacklerMed,@SacklerMed,The Sackler School of Medicine New York State/American Program of Tel Aviv University is a partnership between the U.S. and Israel that has existed since 1976.,SSM,5,,,,,,,
,https://twitter.com/TelAvivUni/status/1245264671050997760,RT,https://www.twitter.com/@Yaakov_M_Liu,@Yaakov_M_Liu,🔯🕉🙏💟🏳️‍🌈🦄 Neurologist+Psychiatrist│ Interested in Quantum Computing & BCI│Converting to Neo-Hassidic Conservative Judaism│Keeping Nusach Parsi│漢語/日本語/Esp,Yaakov Mikhael Liu,5,,,,,,,
16,https://twitter.com/TelAvivUni/status/1245052545824948224,liked,https://www.twitter.com/@tschonberg,@tschonberg,Assistant Prof. in the Department of Neurobiology and Sagol School of Neuroscience @TelAvivUni views are my own #behaviorchange #openscience #brain,Tom Schonberg,,,,,,,,
16,https://twitter.com/TelAvivUni/status/1245052545824948224,liked,https://www.twitter.com/@MilicaRat,@MilicaRat,жао ми је што нисам астронаут.,Privilegovana,,,,,,,,
16,https://twitter.com/TelAvivUni/status/1245052545824948224,liked,https://www.twitter.com/@shakedpa,@shakedpa,"Art, (neuro)science and other geeky stuff. Lives in an 80s RPG.",Shaked Palgi,,,,,,,,
16,https://twitter.com/TelAvivUni/status/1245052545824948224,liked,https://www.twitter.com/@fossilplants,@fossilplants,"Owns a #Botanicgarden, #Conservation #MRes @DICE_Kent, #FLS, @EinCaerDdol, @GondwanaPlants, #Palmoilfree, #SUP #Climb #Explore, no #PlantBlindness #iamabotanist",Robbie Blackhall-Miles,,,,,,,,
16,https://twitter.com/TelAvivUni/status/1245052545824948224,liked,https://www.twitter.com/@manhhungsg,@manhhungsg,"PhD student at the Stazione Zoológica Anton Dohrn, Napoli, Italy",manhhungsg,,,,,,,,
16,https://twitter.com/TelAvivUni/status/1245052545824948224,liked,https://www.twitter.com/@evoecolab,@evoecolab,"Bio Prof @UTM @UofT, Director of @CUE_UofT, Canada Research Chair. EvoEco of plants and animals, urban evolution. Changing the world one experiment at a time",Marc Johnson,,,,,,,,
16,https://twitter.com/TelAvivUni/status/1245052545824948224,liked,https://www.twitter.com/@dr_tialynn,@dr_tialynn,Evolutionary ecologist she/her/hers,dr tia-lynn ashman,,,,,,,,
16,https://twitter.com/TelAvivUni/status/1245052545824948224,liked,https://www.twitter.com/@JTrunschke,@JTrunschke,"Evolutionary ecologist, loves flowers and their pollinators, good wines and food, passionate (ultra distance mountain) trail runner and certified outdoor leader",Judith Trunschke,,,,,,,,
16,https://twitter.com/TelAvivUni/status/1245052545824948224,liked,https://www.twitter.com/@Rajendr98470438,@Rajendr98470438,"Postdoc at Prof. Su lab, Fjirsm, CAS, China.  working area: Remote selective sp3 C-H  bond activation. CO2 METHANATION and  Pd/Norbornen catalysis.",Rajendran,,,,,,,,
16,https://twitter.com/TelAvivUni/status/1245052545824948224,liked,https://www.twitter.com/@MichaeliSimon,@MichaeliSimon,"Plant cell biologist @WeizmannScience. #Autophagy, #endomembranes, #viruses and #chloroplast.",Simon Michaeli,,,,,,,,
16,https://twitter.com/TelAvivUni/status/1245052545824948224,liked,https://www.twitter.com/@jakinmaies,@jakinmaies,"Especialista en Salud Publica Y Desastres ,Cadete Diplomatico# en el ministerio de relaciones exteriores de @Israel",Jakin Mandelblum,,,,,,,,
16,https://twitter.com/TelAvivUni/status/1245052545824948224,liked,https://www.twitter.com/@dror_barak,@dror_barak,"Microbiologist by training, bioinformatician by googling (and hard work). PhD/MBA student @ Cytryn lab, ARO. Exploring antimicrobials in soil microbiomes.",BarakDror,,,,,,,,
16,https://twitter.com/TelAvivUni/status/1245052545824948224,liked,https://www.twitter.com/@drklglenno,@drklglenno,"Evolutionary biologist who likes #polyploidy, #mountains, & #baobabs. tweets are my own (she/her)",drklglenno,,,,,,,,
16,https://twitter.com/TelAvivUni/status/1245052545824948224,liked,https://www.twitter.com/@AnatKoll,@AnatKoll,"Four years in Ethiopia (as a kid), six years in China (university instructor) dual-citizenship; Israel is my home!",iocean,,,,,,,,
16,https://twitter.com/TelAvivUni/status/1245052545824948224,liked,https://www.twitter.com/@FinnSylvana,@FinnSylvana,"Soon to be PhD student @Tufts. Bee population ecology and pollination biology 🐝🌸 Lead Field Technician - Gratton Lab, UW Madison.",Sylvie Finn,,,,,,,,
16,https://twitter.com/TelAvivUni/status/1245052545824948224,liked,https://www.twitter.com/@YehuMoran,@YehuMoran,"Evolutionary biologist @HebrewU
Opinions are my own.",Yehu Moran,,,,,,,,
,https://twitter.com/TelAvivUni/status/1245052545824948224,RT,https://www.twitter.com/@tschonberg,@tschonberg,Assistant Prof. in the Department of Neurobiology and Sagol School of Neuroscience @TelAvivUni views are my own #behaviorchange #openscience #brain,Tom Schonberg,3,,,,,,,
,https://twitter.com/TelAvivUni/status/1245052545824948224,RT,https://www.twitter.com/@TelAvivUni,@TelAvivUni,"Leading research university in #Israel and the world. World's 8ᵗʰ in graduate #Startups, top 100 #Innovation. Be Part of the Next Big Idea.",Tel Aviv University,3,,,,,,,
16,https://twitter.com/yuval_sapir/status/1245050446861000708,liked,https://www.twitter.com/@tschonberg,@tschonberg,Assistant Prof. in the Department of Neurobiology and Sagol School of Neuroscience @TelAvivUni views are my own #behaviorchange #openscience #brain,Tom Schonberg,,,,,,,,
16,https://twitter.com/yuval_sapir/status/1245050446861000708,liked,https://www.twitter.com/@MilicaRat,@MilicaRat,жао ми је што нисам астронаут.,Privilegovana,,,,,,,,
